seed,method,episodes,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
42,random,171,1.9164958782494068,0.9430286884307861,0.009593170136213303,0.01641722023487091,0.9376463890075684,0.009810410439968109
42,round_robin,171,2.2589919064193964,0.9919715523719788,0.010134151205420494,0.1655692756175995,1.0811008214950562,0.010216105729341507
42,max_variance,171,2.012753834016621,0.9827943444252014,0.009992544539272785,0.09201211482286453,0.9178721904754639,0.010082639753818512
123,random,171,1.9565443899482489,1.010020136833191,0.009254645556211472,0.014029019512236118,0.913034200668335,0.010206387378275394
123,round_robin,171,1.993833520449698,0.9987044930458069,0.009796959348022938,0.01246548630297184,0.9620111584663391,0.010855423286557198
123,max_variance,171,2.2273643743246794,1.043135166168213,0.010282519273459911,0.13264630734920502,1.0305806398391724,0.010719741694629192
456,random,171,2.0911089796572924,1.0174061059951782,0.011548097245395184,0.0576302595436573,0.994835376739502,0.009689140133559704
456,round_robin,171,1.9848893163725734,0.9761714935302734,0.00973697379231453,0.011621929705142975,0.976976752281189,0.010382167063653469
456,max_variance,171,2.0684937704354525,1.0060548782348633,0.010628043673932552,0.0916227474808693,0.9507262706756592,0.009461830370128155
789,random,171,2.0750680146738887,1.0445963144302368,0.010326027870178223,0.012437253259122372,0.9967297911643982,0.01097862794995308
789,round_robin,171,2.0573648614808917,0.964966893196106,0.00920902844518423,0.012260980904102325,1.0597516298294067,0.011176329106092453
789,max_variance,171,2.041176131926477,0.9232152104377747,0.009242197498679161,0.07147606462240219,1.026899814605713,0.010342844761908054
1011,random,171,2.098285797983408,0.9737459421157837,0.009695452637970448,0.025249235332012177,1.0796581506729126,0.009937017224729061
1011,round_robin,171,2.215235215611756,1.0918711423873901,0.010966848582029343,0.04026490077376366,1.0615932941436768,0.010539029724895954
1011,max_variance,171,2.1313634663820267,1.0588868856430054,0.01142194028943777,0.14740833640098572,0.9026871919631958,0.010959112085402012
