seed,K,episodes,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
42,2,100,2.279767768457532,1.1496707201004028,0.0924186185002327,0.12351257354021072,0.8838205933570862,0.030345262959599495
123,2,100,2.604369055479765,1.091390609741211,0.06712649762630463,0.12239718437194824,1.3052047491073608,0.018250014632940292
456,2,100,2.4097752198576927,0.9880585074424744,0.08226984739303589,0.1742853969335556,1.091059684753418,0.07410178333520889
789,2,100,2.2284085247665644,1.0317635536193848,0.016686616465449333,0.19491614401340485,0.9485802054405212,0.036462005227804184
1011,2,100,2.277282252907753,0.9791826009750366,0.06256187707185745,0.13382473587989807,1.0518397092819214,0.04987332969903946
42,4,100,2.3457250613719225,1.0145868062973022,0.030652964487671852,0.03327272832393646,1.2053196430206299,0.06189291924238205
123,4,100,2.28959577716887,1.021140456199646,0.07329783588647842,0.045394010841846466,1.1220916509628296,0.027671823278069496
456,4,100,2.2324378844350576,1.0442745685577393,0.021952001377940178,0.07508092373609543,1.0312434434890747,0.05988694727420807
789,4,100,2.093034388497472,0.974082887172699,0.018440624698996544,0.09670419991016388,0.9709080457687378,0.03289863094687462
1011,4,100,2.175378544256091,1.0013095140457153,0.029949495568871498,0.06630050390958786,1.0285929441452026,0.04922608658671379
42,8,100,2.20520425401628,1.088285207748413,0.04097200185060501,0.024573570117354393,1.0335687398910522,0.017804734408855438
123,8,100,2.02471618168056,1.0143163204193115,0.020481280982494354,0.02488739788532257,0.9476604461669922,0.017370736226439476
456,8,100,2.110376827418804,1.0202218294143677,0.020614545792341232,0.03561374545097351,1.0055428743362427,0.028383832424879074
789,8,100,1.9156421162188053,0.9079880118370056,0.040382709354162216,0.02106305956840515,0.9121986627578735,0.034009672701358795
1011,8,100,2.1205674530938268,1.0200778245925903,0.011693385429680347,0.02579204924404621,1.0411750078201294,0.021829186007380486
42,16,100,1.9896007664501667,0.9185869097709656,0.019981959834694862,0.01674669422209263,1.016444206237793,0.017840996384620667
123,16,100,2.16222389228642,1.0773301124572754,0.019176241010427475,0.06648117303848267,0.9773921966552734,0.0218441691249609
456,16,100,1.978146456182003,1.0233701467514038,0.02068544365465641,0.03530369699001312,0.8784993886947632,0.020287780091166496
789,16,100,2.1881935726851225,1.06541907787323,0.023615285754203796,0.09319575130939484,0.9864693284034729,0.019494129344820976
1011,16,100,2.1009966395795345,1.001622200012207,0.016546515747904778,0.017301302403211594,1.050327181816101,0.015199439600110054
